name,int_code
النصر لتصنيع الحاصلات الزراعية,EGS300L1C011
النصر للملابس والمنسوجات - كابو,EGS33061C010
النعيم القابضة للاستثمارات,EGS69182C011
النيل للادوية والصناعات الكيماوية - النيل,EGS38331C012
الوادى العالمية للاستثمار و التنمية,EGS70R91C016
الورق للشرق الاوسط - سيمو,EGS36091C014
الوطنية للاسكان للنقابات المهنية,EGS65131C012
الوطنية للطباعة,EGS370O1C013
ام.ام جروب للصناعة والتجارة العالمية,EGS75011C014
اودن للاستثمارات المالية,EGS67181C015
اوراسكوم المالية القابضة,EGS696S1C016
اوراسكوم كونستراكشون بي ال سي,EGS95001C011
اوراسكوم للاستثمار القابضه,EGS693V1C014
اوراسكوم للتنمية مصر,EGS70321C012
اي فاينانس للاستثمارات المالية والرقمية,EGS743O1C013
اية كابيتال القابضة,EGS697S1C015
ايديتا للصناعات الغذائية,EGS305I1C011
بالم هيلز للتعمير,EGS655L1C012
بايونيرز بروبرتيز للتنمية العمرانية,EGS21FW1C015
برايم القابضة للاستثمارات المالية,EGS691A1C011
بلتون القابضة,EGS691G1C015
بنك البركة مصر,EGS60101C010
بنك التعمير والاسكان,EGS60301C016
بنك الشركة المصرفية العربية الدولية- شركة مساهمة مصرية,EGS60142C014
بنك القاهرة,EGS600K1C019
بنك فيصل الاسلامي المصري - بالدولار,EGS60322C012
بنك فيصل الاسلامي المصرية بالجنية,EGS60321C014
بنك قطر الوطني,EGS60081C014
بنك قناة السويس شركة مساهمة مصرية,EGS60231C015
بنك كريدي اجريكول مصر,EGS60041C018
بنيان للتنمية والتجارة,EGS656M1C010
بورسعيد لتداول الحاويات والبضائع,EGS42101C013
بى انفستمنتس القابضه,EGS691T1C010
بيراميزا للفنادق والقرى السياحية - بيراميزا,EGS70331C011
تنمية للاستثمار العقاري,EGS21EB1C011
جدوى للتنمية الصناعية,EGS3JM11C012
جراند انفستمنت القابضة للاستثمارات المالية,EGS69261C013
جلاكسو سميثكلاين,EGS38171C012
جنوب الوادى للاسمنت,EGS3C351C011
جهينة للصناعات الغذائية,EGS30901C010
جو جرين للاستثمار الزراعى والتنمية,EGS07DR1C012
جولدن بيراميدز بلازا,EGS70342C018
جولدن تكس للاصواف,EGS32161C019
جولدن كوست السخنة للاستثمار السياحى,EGS70GV1C015
جى بى كوربوريشن,EGS673T1C012
جيتكس للاستثمارات التجارية والصناعية,EGS59U92C011
حق اكتتاب شركة التوفيق للتأجير التمويلى - ايه.تى.ليس 3,EGS923X1C014
حق اكتتاب شركة المطورون العرب القابضة-1,EGS923V1C016
حق اكتتاب شركة النصر للملابس والمنسوجات-كابو-3,EGS923W1C015
دايس للملابس الجاهزة,EGS33321C018
دلتا للطباعة والتغليف,EGS370W1C013
دمياط لتداول الحاويات و البضائع,EGS42121C011
ديجيتايز للاستثمار والتقنية,EGS74F71C015
راية القابضة للأستثمارات المالية,EGS690C1C010
راية لخدمات مراكز الاتصالات,EGS74191C015
رمكو لانشاء القرى السياحيه,EGS70271C019
رواد السياحة - الرواد,EGS70281C018
روبكس العالميه لتصنيع البلاستيك والاكريلك,EGS3A221C018
ريكاب للاستثمارات المالية,EGS69191C012
زهراء المعادي للاستثمار والتعمير,EGS21171C011
سبأ الدولية للأدوية والصناعات الكيماوية,EGS382M1C011
سبيد ميديكال,EGS73BR1C013
سماد مصر (ايجيفرت),EGS51191C012
سى اى كابيتال القابضة للاستثمارات المالية,EGS691D1C018
سيدى كرير للبتروكيماويات - سيدبك,EGS380S1C017
شارم دريمز للاستثمار السياحى,EGS70571C012
شركة النصر للأعمال المدنية,EGS23111C015
شركة مستشفي كليوباترا,EGS729J1C018
شمال الصعيد للتنمية والانتاج الزراعى (نيوداب),EGS52041C018
طاقة عربية,EGS490S1C014
عبر المحيطات للسياحه,EGS79072C012
عبور لاند للصناعات الغذائية,EGS30AL1C012
غاز مصر,EGS39011C019
فوري لتكنولوجيا البنوك والمدفوعات الالكترونية,EGS745L1C014
قرة لمشروعات الطاقة والاستثمار,EGS07911C018
قناة السويس لتوطين التكنولوجيا,EGS740C1C010
كاتليست بارتنرز ميديل ايست,EGS698X1C017
كريستمارك للمقاولات والتطوير العقاري,EGS23141C012
كفر الزيات للمبيدات والكيماويات,EGS38411C012
كوبر للاستثمار التجارى و التطوير العقارى,EGS65511C015
كونتكت المالية القابضة,EGS738I1C018
كونكريت فاشون جروب للاستثمارات التجارية والصناعية,EGS672I2C014
لوتس للتنمية والاستثمار الزراعى,EGS07661C019
ليسيكو مصر,EGS3C161C014
ماكرو جروب للمستحضرات الطبية-ماكرو كابيتال,EGS7D971C011
مجموعة الأهلى للزراعات الحديثة,EGS07331C019
مجموعة اي اف جي القابضة,EGS69101C011
مجموعة جى . أم . سى للاستثمارات الصناعية و التجارية المالية,EGS46051C016
مجموعة طلعت مصطفى القابضة,EGS691S1C011
مدينة مصر للاسكان والتعمير,EGS65571C019
مرسى مرسى علم للتنمية السياحية,EGS70P91C010
مرسيليا المصرية الخليجية للاستثمار العقارى,EGS739Z1C016
مستشفى النزهه الدولي,EGS72011C017
مصر الجديدة للاسكان والتعمير,EGS65591C017
مصر الوطنية للصلب - عتاقة,EGS3D0C1C018
مصر بنى سويف للاسمنت,EGS3C371C019
مصر لإنتاج الأسمدة - موبكو,EGS39061C014
مصر لصناعة الكيماويات,EGS38211C016
مصر للاسمنت - قنا,EGS3C391C017
مصر للاسواق الحرة,EGS53051C016
مصر للالومنيوم,EGS3E181C010
مصر للزيوت و الصابون,EGS38421C011
مصر للفنادق,EGS70081C012
